CodMun,area_territorial
2313757,"315,648"
2313807,"99,4"
2313906,"697,683"
2313955,"179,239"
2314003,"829,976"
2314102,"1310,91"
2400109,"608,466"
2400208,"1303,442"
2400307,"576,179"
2400406,"50,684"
2400505,"381,205"
2400604,"128,038"
2400703,"191,334"
2400802,"741,582"
2400901,"244,897"
2401008,"1602,477"
2401107,"342,749"
2401206,"115,407"
2401305,"896,954"
2401404,"247,484"
2401453,"825,681"
2401503,"152,626"
2401602,"301,069"
2401651,"253,519"
2401701,"122,035"
2401800,"61,559"
2401859,"225,633"
2401909,"261,194"
2402006,"1228,584"
2402105,"213,727"
2402204,"245,485"
2402303,"1095,803"
2402402,"246,308"
2402501,"517,737"
2402600,"724,838"
2402709,"393,573"
2402808,"185,748"
2402907,"117,139"
2403004,"295,83"
2403103,"864,349"
2403202,"113,737"
2403251,"124,006"
2403301,"125,749"
2403400,"264,985"
2403509,"135,838"
2403608,"140,639"
2403707,"268,591"
2403756,"322,628"
2403806,"507,892"
2403905,"181,558"
2404002,"63,279"
2404101,"340,769"
2404200,"192,279"
2404309,"1129,55"
2404408,"124,538"
2404507,"258,307"
2404606,"312,028"
2404705,"374,245"
2404804,"127,348"
2404853,"203,624"
2404903,"133,031"
2405009,"54,561"
2405108,"442,754"
2405207,"304,901"
2405306,"170,737"
2405405,"188,99"
2405504,"254,022"
2405603,"330,53"
2405702,"367,645"
2405801,"714,961"
2405900,"88,173"
2406007,"117,635"
2406106,"933,73"
2406155,"44,641"
2406205,"105,652"
2406304,"117,971"
2406403,"111,607"
2406502,"176,302"
2406601,"79,128"
2406700,"676,625"
2406809,"130,211"
2406908,"30,931"
2407005,"166,638"
2407104,"510,092"
2407203,"775,302"
2407252,"31,971"
2407302,"345,711"
2407401,"169,464"
2407500,"132,129"
2407609,"135,091"
2407708,"82,214"
2407807,"211,259"
2407906,"71,946"
2408003,"2099,334"
2408102,"167,401"
2408201,"307,719"
2408300,"277,658"
2408409,"141,17"
2408508,"253,21"
2408607,"81,39"
2408706,"383,214"
2408805,"231,007"
2408904,"513,507"
2408953,"151,097"
2409100,"42,137"
2409209,"41,215"
2409308,"319,135"
2409332,"219,57"
2409407,"259,959"
2409506,"221,167"
2409605,"294,985"
2409704,"952,755"
2409803,"192,708"
2409902,"419,137"
2410009,"82,69"
2410108,"230,401"
2410207,"110,054"
2410256,"361,237"
2410306,"217,539"
2410405,"504,294"
2410504,"78,231"
2410603,"100,073"
2410702,"127,223"
2410801,"128,106"
2410900,"262,887"
2411007,"154,84"
2411056,"169,365"
2411106,"125,809"
2411205,"624,356"
2411403,"1422,268"
2411429,"188,403"
2411502,"301,082"
2411601,"288,761"
2411700,"190,818"
2411809,"404,427"
2411908,"75,588"
2412005,"249,8"
2412104,"277,011"
2412203,"289,987"
2412302,"341,115"
2412401,"174,505"
2412500,"166,233"
2412559,"431,444"
2412609,"240,425"
2412708,"195,237"
2412807,"469,101"
2412906,"862,585"
2413003,"197,817"
2413102,"152,376"
2413201,"26,1"
2413300,"96,628"
2413359,"620,241"
2413409,"562,396"
2413508,"193,351"
2413557,"122,375"
2413607,"157,85"
2413706,"213,456"
2413805,"124,093"
2413904,"352,818"
2414001,"339,484"
2414100,"223,671"
2414159,"68,556"
2414209,"102,68"
2414308,"135,456"
2414407,"753,961"
